MWG Database,Property," 1"," 10"," 11"," 12"," 13"," 14"," 15"," 16"," 17"," 18"," 19"," 2"," 20"," 21"," 3"," 4"," 5"," 6"," 7"," 8"," 9"
,,,,,,,,,,,,,,,,,,,,,,
GITHUB LINK,,,,,,,,,,,,,,,,,,,,,,
ROLE TITTLE,Marketing worker,,,,,,,,,,,,,,,,,,,,,
EXPERIENCE,"Yes I have worked in “BanklessDAO"" as a graphics and a content writer as a freelancer",,,,,,,,,,,,,,,,,,,,,
COUNTRY / TIME ZONE,G.M.T+1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
TELEGRAM,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
DISCORD,bezyofficial#️3245,,,,,,,,,,,,,,,,,,,,,
CORE SKILLS,,,,,,,,,,,,,,,,,,,,,,
MEMBERSHIP ID,4287,,,,,,,,,,,,,,,,,,,,,
MM/YY JOINED JOYSTREAM,12/2022,,,,,,,,,,,,,,,,,,,,,
WORKER INFO,,,,,,,,,,,,,,,,,,,,,,
GITHUB USERNAME,,,,,,,,,,,,,,,,,,,,,,
LANGUAGE(S) SPOKEN,,,,,,,,,,,,,,,,,,,,,,
EMAIL,,,,,,,,,,,,,,,,,,,,,,
