DWG Database,Property," 1"," 2"," 3"," 4"," 5"," 6"," 7"," 8"," 9"," 10"," 11"," 12"," 13"," 14"," 15"," 16"," 17"," 18"," 19"," 20"," 21"
,,,,,,,,,,,,,,,,,,,,,,
WORKER INFO,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
DISCORD,##,,,,,,,,,,,,,,,,,,,,,
TELEGRAM,##,,,,,,,,,,,,,,,,,,,,,
EMAIL,,,,,,,,,,,,,,,,,,,,,,
MEMBERSHIP ID,##,,,,,,,,,,,,,,,,,,,,,
GITHUB USERNAME,,,,,,,,,,,,,,,,,,,,,,
GITHUB LINK,,,,,,,,,,,,,,,,,,,,,,
MM/YY JOINED JOYSTREAM,,,,,,,,,,,,,,,,,,,,,,
LANGUAGE(S) SPOKEN,,,,,,,,,,,,,,,,,,,,,,
CORE SKILLS,,,,,,,,,,,,,,,,,,,,,,
COUNTRY / TIME ZONE,,,,,,,,,,,,,,,,,,,,,,
EXPERIENCE,,,,,,,,,,,,,,,,,,,,,,
ROLE TITTLE,,,,,,,,,,,,,,,,,,,,,,
PERFORMANCE REMARKS,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
SALARY HISTORY,,,,,,,,WORK HISTORY IN JOYSTREAM,,,,,,,WORK HISTORY OUTSIDE JOYSTREAM,,,,,,,
DATE,PROPOSAL No,REASON,AMOUNT,TERM,URL LINK,BLOCK,,CURRENT/PAST POSITION(S) IN WG,DATE HIRED/FIRED,TERM,JOB DESCRIPTION,WORK SCHEDULE (DAYS/TIME ACTIVE),URL LINK,,CURRENT/PAST POSITION(S),DATE HIRED/FIRED,COMPANY/PROJECT,JOB DESCRIPTION,URL LINK,AMOUNT,TERM,URL LINK
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
