DWG Database,Property," 1"," 10"," 11"," 12"," 13"," 14"," 15"," 16"," 17"," 18"," 19"," 2"," 20"," 21"," 3"," 4"," 5"," 6"," 7"," 8"," 9"
,,,,,,,,,,,,,,,,,,,,,,
DISCORD,##,,,,,,,,,,,,,,,,,,,,,
ROLE TITTLE,,,,,,,,,,,,,,,,,,,,,,
SALARY HISTORY,,,,,,,WORK HISTORY OUTSIDE JOYSTREAM,,,,,,,,,,,,,WORK HISTORY IN JOYSTREAM,,
WORKER INFO,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
COUNTRY / TIME ZONE,,,,,,,,,,,,,,,,,,,,,,
LANGUAGE(S) SPOKEN,,,,,,,,,,,,,,,,,,,,,,
EXPERIENCE,,,,,,,,,,,,,,,,,,,,,,
GITHUB USERNAME,,,,,,,,,,,,,,,,,,,,,,
GITHUB LINK,,,,,,,,,,,,,,,,,,,,,,
CORE SKILLS,,,,,,,,,,,,,,,,,,,,,,
PERFORMANCE REMARKS,,,,,,,,,,,,,,,,,,,,,,
EMAIL,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
MEMBERSHIP ID,##,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
DATE,PROPOSAL No,REASON,JOB DESCRIPTION,WORK SCHEDULE (DAYS/TIME ACTIVE),URL LINK,,CURRENT/PAST POSITION(S),DATE HIRED/FIRED,COMPANY/PROJECT,JOB DESCRIPTION,URL LINK,AMOUNT,AMOUNT,TERM,URL LINK,TERM,URL LINK,BLOCK,,CURRENT/PAST POSITION(S) IN WG,DATE HIRED/FIRED,TERM
MM/YY JOINED JOYSTREAM,,,,,,,,,,,,,,,,,,,,,,
TELEGRAM,##,,,,,,,,,,,,,,,,,,,,,
