MWG Database,Property," 1"," 10"," 11"," 12"," 13"," 14"," 15"," 16"," 17"," 18"," 19"," 2"," 20"," 21"," 3"," 4"," 5"," 6"," 7"," 8"," 9"
ROLE TITLE,Storage worker,,,,,,,,,,,,,,,,,,,,,
GITHUB LINK,https://github.com/Ilichhh,,,,,,,,,,,,,,,,,,,,,
TELEGRAM,ilichhh,,,,,,,,,,,,,,,,,,,,,
DISCORD,Ilich#3455,,,,,,,,,,,,,,,,,,,,,
LANGUAGE(S) SPOKEN,RU\EN,,,,,,,,,,,,,,,,,,,,,
CORE SKILLS,"linux, docker,GraphQl queries ",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
EXPERIENCE,"I operated nodes in many different networks (Substrate and Cosmos blockchains, Aleo, Ifonfish etc). I also was distribution worker during all testnet in Joystreem I started to learn frontend development a bit more then one year ago. Now i know how to create applications using JS/TS and React. Maybe I can be helpful in creating some tools, if it's mostly frontend related",,,,,,,,,,,,,,,,,,,,,
MEMBERSHIP ID,2194,,,,,,,,,,,,,,,,,,,,,
EMAIL,,,,,,,,,,,,,,,,,,,,,,
COUNTRY/TIMEZONE,UTC+3,,,,,,,,,,,,,,,,,,,,,
GITHUB  USERNAME,https://github.com/Ilichhh,,,,,,,,,,,,,,,,,,,,,
MM/YY JOINED JOYSTREAM,09/12/2022,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
WORKER INFO,,,,,,,,,,,,,,,,,,,,,,
