AWG Database,Property," 1"," 2"," 3"," 4"," 5"," 6"," 7"," 8"," 9"," 10"," 11"," 12"," 13"," 14"," 15"," 16"," 17"," 18"," 19"," 20"," 21"
,,,,,,,,,,,,,,,,,,,,,,
WORKER INFO,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
DISCORD,##,,,,,,,,,,,,,,,,,,,,,
TELEGRAM,##,,,,,,,,,,,,,,,,,,,,,
EMAIL,,,,,,,,,,,,,,,,,,,,,,
MEMBERSHIP ID,542,,,,,,,,,,,,,,,,,,,,,
GITHUB USERNAME,,,,,,,,,,,,,,,,,,,,,,
GITHUB LINK,,,,,,,,,,,,,,,,,,,,,,
MM/YY JOINED JOYSTREAM,,,,,,,,,,,,,,,,,,,,,,
LANGUAGE(S) SPOKEN,,,,,,,,,,,,,,,,,,,,,,
CORE SKILLS,,,,,,,,,,,,,,,,,,,,,,
COUNTRY / TIME ZONE,,,,,,,,,,,,,,,,,,,,,,
EXPERIENCE,,,,,,,,,,,,,,,,,,,,,,
ROLE TITTLE,,,,,,,,,,,,,,,,,,,,,,
PERFORMANCE REMARKS,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
