AWG Database,Property," 1"," 10"," 11"," 12"," 13"," 14"," 15"," 16"," 17"," 18"," 19"," 2"," 20"," 21"," 3"," 4"," 5"," 6"," 7"," 8"," 9"
ROLE TITTLE,,,,,,,,,,,,,,,,,,,,,,
GITHUB USERNAME,,,,,,,,,,,,,,,,,,,,,,
MM/YY JOINED JOYSTREAM,,,,,,,,,,,,,,,,,,,,,,
MEMBERSHIP ID,542,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
WORKER INFO,,,,,,,,,,,,,,,,,,,,,,
CORE SKILLS,,,,,,,,,,,,,,,,,,,,,,
EXPERIENCE,,,,,,,,,,,,,,,,,,,,,,
PERFORMANCE REMARKS,,,,,,,,,,,,,,,,,,,,,,
GITHUB LINK,,,,,,,,,,,,,,,,,,,,,,
DISCORD,##,,,,,,,,,,,,,,,,,,,,,
TELEGRAM,##,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
COUNTRY / TIME ZONE,,,,,,,,,,,,,,,,,,,,,,
LANGUAGE(S) SPOKEN,,,,,,,,,,,,,,,,,,,,,,
EMAIL,,,,,,,,,,,,,,,,,,,,,,
