BWG Database,Property," 1"," 2"," 3"," 4"," 5"," 6"," 7"," 8"," 9"," 10"," 11"," 12"," 13"," 14"," 15"," 16"," 17"," 18"," 19"," 20"," 21"
,,,,,,,,,,,,,,,,,,,,,,
WORKER INFO,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
DISCORD,ninjafire#2987,,,,,,,,,,,,,,,,,,,,,
TELEGRAM,##,,,,,,,,,,,,,,,,,,,,,
EMAIL,,,,,,,,,,,,,,,,,,,,,,
MEMBERSHIP ID,4254,,,,,,,,,,,,,,,,,,,,,
GITHUB USERNAME,ninja-fire,,,,,,,,,,,,,,,,,,,,,
GITHUB LINK,https://github.com/ninja-fire,,,,,,,,,,,,,,,,,,,,,
MM/YY JOINED JOYSTREAM,8/2022,,,,,,,,,,,,,,,,,,,,,
LANGUAGE(S) SPOKEN,"french, english",,,,,,,,,,,,,,,,,,,,,
CORE SKILLS,"ux/ui design, HTML, CSS, 3D modeling/rendering",,,,,,,,,,,,,,,,,,,,,
TIME ZONE,UTC-6,,,,,,,,,,,,,,,,,,,,,
EXPERIENCE,,,,,,,,,,,,,,,,,,,,,,
ROLE TITTLE,Designer,,,,,,,,,,,,,,,,,,,,,
PERFORMANCE REMARKS,very proactive,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
