BWG Database,Property," 1"," 10"," 11"," 12"," 13"," 14"," 15"," 16"," 17"," 18"," 19"," 2"," 20"," 21"," 3"," 4"," 5"," 6"," 7"," 8"," 9"
,,,,,,,,,,,,,,,,,,,,,,
ROLE TITTLE,Designer,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
TIME ZONE,UTC-6,,,,,,,,,,,,,,,,,,,,,
MM/YY JOINED JOYSTREAM,8/2022,,,,,,,,,,,,,,,,,,,,,
LANGUAGE(S) SPOKEN,"french, english",,,,,,,,,,,,,,,,,,,,,
MEMBERSHIP ID,4254,,,,,,,,,,,,,,,,,,,,,
GITHUB USERNAME,ninja-fire,,,,,,,,,,,,,,,,,,,,,
EXPERIENCE,,,,,,,,,,,,,,,,,,,,,,
CORE SKILLS,"ux/ui design, HTML, CSS, 3D modeling/rendering",,,,,,,,,,,,,,,,,,,,,
DISCORD,ninjafire#2987,,,,,,,,,,,,,,,,,,,,,
PERFORMANCE REMARKS,very proactive,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
TELEGRAM,##,,,,,,,,,,,,,,,,,,,,,
EMAIL,,,,,,,,,,,,,,,,,,,,,,
WORKER INFO,,,,,,,,,,,,,,,,,,,,,,
GITHUB LINK,https://github.com/ninja-fire,,,,,,,,,,,,,,,,,,,,,
