DWG Database,Property," 1"," 2"," 3"," 4"," 5"," 6"," 7"," 8"," 9"," 10"," 11"," 12"," 13"," 14"," 15"," 16"," 17"," 18"," 19"," 20"," 21"
,,,,,,,,,,,,,,,,,,,,,,
WORKER INFO,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
DISCORD,Deathix#7789,,,,,,,,,,,,,,,,,,,,,
TELEGRAM,N/A,,,,,,,,,,,,,,,,,,,,,
EMAIL,N/A,,,,,,,,,,,,,,,,,,,,,
MEMBERSHIP ID,4236,,,,,,,,,,,,,,,,,,,,,
GITHUB USERNAME,opsit-rv,,,,,,,,,,,,,,,,,,,,,
GITHUB LINK,https://github.com/opsit-rv,,,,,,,,,,,,,,,,,,,,,
MM/YY JOINED JOYSTREAM,08/2022,,,,,,,,,,,,,,,,,,,,,
LANGUAGE(S) SPOKEN,"English, Ukrainian, russian",,,,,,,,,,,,,,,,,,,,,
CORE SKILLS,"DevOps, SA",,,,,,,,,,,,,,,,,,,,,
COUNTRY / TIME ZONE,"Ukraine, UTC +2",,,,,,,,,,,,,,,,,,,,,
EXPERIENCE,15+ years in IT,,,,,,,,,,,,,,,,,,,,,
ROLE TITTLE,Distribution Worker,,,,,,,,,,,,,,,,,,,,,
PERFORMANCE REMARKS,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
