DWG Database,Property," 1"," 10"," 11"," 12"," 13"," 14"," 15"," 16"," 17"," 18"," 19"," 2"," 20"," 21"," 3"," 4"," 5"," 6"," 7"," 8"," 9"
COUNTRY / TIME ZONE,"Ukraine, UTC +2",,,,,,,,,,,,,,,,,,,,,
EXPERIENCE,15+ years in IT,,,,,,,,,,,,,,,,,,,,,
GITHUB LINK,https://github.com/opsit-rv,,,,,,,,,,,,,,,,,,,,,
TELEGRAM,N/A,,,,,,,,,,,,,,,,,,,,,
ROLE TITTLE,Distribution Worker,,,,,,,,,,,,,,,,,,,,,
PERFORMANCE REMARKS,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
MEMBERSHIP ID,4236,,,,,,,,,,,,,,,,,,,,,
CORE SKILLS,"DevOps, SA",,,,,,,,,,,,,,,,,,,,,
MM/YY JOINED JOYSTREAM,08/2022,,,,,,,,,,,,,,,,,,,,,
DISCORD,Deathix#7789,,,,,,,,,,,,,,,,,,,,,
LANGUAGE(S) SPOKEN,"English, Ukrainian, russian",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
GITHUB USERNAME,opsit-rv,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
WORKER INFO,,,,,,,,,,,,,,,,,,,,,,
EMAIL,N/A,,,,,,,,,,,,,,,,,,,,,
