MSWG Database,Property," 1"," 2"," 3"," 4"," 5"," 6"," 7"," 8"," 9"," 10"," 11"," 12"," 13"," 14"," 15"," 16"," 17"," 18"," 19"," 20"," 21"
,,,,,,,,,,,,,,,,,,,,,,
WORKER INFO,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
DISCORD,tomato#9464,,,,,,,,,,,,,,,,,,,,,
TELEGRAM,@s7hhr6ugfruf,,,,,,,,,,,,,,,,,,,,,
EMAIL,N/A,,,,,,,,,,,,,,,,,,,,,
MEMBERSHIP ID,2,,,,,,,,,,,,,,,,,,,,,
GITHUB USERNAME,@mochet,,,,,,,,,,,,,,,,,,,,,
GITHUB LINK,https://github.com/mochet,,,,,,,,,,,,,,,,,,,,,
MM/YY JOINED JOYSTREAM,02/2021,,,,,,,,,,,,,,,,,,,,,
LANGUAGE(S) SPOKEN,"English ",,,,,,,,,,,,,,,,,,,,,
CORE SKILLS,"Governance, proposals, communication",,,,,,,,,,,,,,,,,,,,,
COUNTRY / TIME ZONE,GMT +8,,,,,,,,,,,,,,,,,,,,,
"EXPERIENCE ",Long term Joystream user with heavy experience in governance and core areas of the DAO,,,,,,,,,,,,,,,,,,,,,
ROLE TITTLE,Membership WG Lead / Council Secretary,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
