MSWG Database,Property," 1"," 10"," 11"," 12"," 13"," 14"," 15"," 16"," 17"," 18"," 19"," 2"," 20"," 21"," 3"," 4"," 5"," 6"," 7"," 8"," 9"
TELEGRAM,@s7hhr6ugfruf,,,,,,,,,,,,,,,,,,,,,
COUNTRY / TIME ZONE,GMT +8,,,,,,,,,,,,,,,,,,,,,
"EXPERIENCE ",Long term Joystream user with heavy experience in governance and core areas of the DAO,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
ROLE TITTLE,Membership WG Lead / Council Secretary,,,,,,,,,,,,,,,,,,,,,
CORE SKILLS,"Governance, proposals, communication",,,,,,,,,,,,,,,,,,,,,
WORKER INFO,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
GITHUB USERNAME,@mochet,,,,,,,,,,,,,,,,,,,,,
DISCORD,tomato#9464,,,,,,,,,,,,,,,,,,,,,
MM/YY JOINED JOYSTREAM,02/2021,,,,,,,,,,,,,,,,,,,,,
EMAIL,N/A,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
GITHUB LINK,https://github.com/mochet,,,,,,,,,,,,,,,,,,,,,
MEMBERSHIP ID,2,,,,,,,,,,,,,,,,,,,,,
LANGUAGE(S) SPOKEN,"English ",,,,,,,,,,,,,,,,,,,,,
