BWG Database,Property," 1"," 2"," 3"," 4"," 5"," 6"," 7"," 8"," 9"," 10"," 11"," 12"," 13"," 14"," 15"," 16"," 17"," 18"," 19"," 20"," 21"
,,,,,,,,,,,,,,,,,,,,,,
WORKER INFO,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
DISCORD,freakstatic#0197,,,,,,,,,,,,,,,,,,,,,
TELEGRAM,@freakstatic,,,,,,,,,,,,,,,,,,,,,
EMAIL,,,,,,,,,,,,,,,,,,,,,,
MEMBERSHIP ID,306,,,,,,,,,,,,,,,,,,,,,
GITHUB USERNAME,freakstatic,,,,,,,,,,,,,,,,,,,,,
GITHUB LINK,https://github.com/freakstatic,,,,,,,,,,,,,,,,,,,,,
MM/YY JOINED JOYSTREAM,09-2020,,,,,,,,,,,,,,,,,,,,,
LANGUAGE(S) SPOKEN,EN/PT,,,,,,,,,,,,,,,,,,,,,
CORE SKILLS,Developer (Problem solving skills and good communication with others to develop software),,,,,,,,,,,,,,,,,,,,,
TIME ZONE,Portugal - UTC,,,,,,,,,,,,,,,,,,,,,
EXPERIENCE,"More than 5 years of experience as a web developer using PHP, Node.js with Javascript and Typescript. I also have been a builder even before the builders WG existed 
 as a operations worker. I have already created some scripts to help the previous council with reports and data collection.",,,,,,,,,,,,,,,,,,,,,
ROLE TITTLE,Developer,,,,,,,,,,,,,,,,,,,,,
PERFORMANCE REMARKS,responsible,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
