CWG Database,Property," 1"," 2"," 3"," 4"," 5"," 6"," 7"," 8"," 9"," 10"," 11"," 12"," 13"," 14"," 15"," 16"," 17"," 18"," 19"," 20"," 21"
,,,,,,,,,,,,,,,,,,,,,,
WORKER INFO,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
DISCORD,cha#6001,,,,,,,,,,,,,,,,,,,,,
TELEGRAM,,,,,,,,,,,,,,,,,,,,,,
EMAIL,,,,,,,,,,,,,,,,,,,,,,
MEMBERSHIP ID,6258,,,,,,,,,,,,,,,,,,,,,
GITHUB USERNAME,,,,,,,,,,,,,,,,,,,,,,
GITHUB LINK,,,,,,,,,,,,,,,,,,,,,,
MM/YY JOINED JOYSTREAM,05/2023,,,,,,,,,,,,,,,,,,,,,
LANGUAGE(S) SPOKEN,"Filipino, English,  Japanese",,,,,,,,,,,,,,,,,,,,,
CORE SKILLS,have good communications skills and adaptability skills,,,,,,,,,,,,,,,,,,,,,
COUNTRY / TIME ZONE,Philippines /GMT +8,,,,,,,,,,,,,,,,,,,,,
EXPERIENCE,recently finished university and language courses,,,,,,,,,,,,,,,,,,,,,
ROLE TITTLE,Content Curator,,,,,,,,,,,,,,,,,,,,,
PERFORMANCE REMARKS,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
